contestId,index,name,type,tags,problem-description,input-specification,output-specification,demo-input,demo-output,note,verdict,code,ai_generated_code
731,A,Night at the Museum,PROGRAMMING,"['implementation', 'strings']","Grigoriy, like the hero of one famous comedy film, found a job as a night security guard at the museum. At first night he received embosser and was to take stock of the whole exposition.

Embosser is a special devise that allows to ""print"" the text of a plastic tape. Text is printed sequentially, character by character. The device consists of a wheel with a lowercase English letters written in a circle, static pointer to the current letter and a button that print the chosen letter. At one move it's allowed to rotate the alphabetic wheel one step clockwise or counterclockwise. Initially, static pointer points to letter 'a'. Other letters are located as shown on the picture:

After Grigoriy add new item to the base he has to print its name on the plastic tape and attach it to the corresponding exhibit. It's not required to return the wheel to its initial position with pointer on the letter 'a'.

Our hero is afraid that some exhibits may become alive and start to attack him, so he wants to print the names as fast as possible. Help him, for the given string find the minimum number of rotations of the wheel required to print it.",The only line of input contains the name of some exhibit — the non-empty string consisting of no more than 100 characters. It's guaranteed that the string consists of only lowercase English letters.,"Print one integer — the minimum number of rotations of the wheel, required to print the name given in the input.","['zeus\n', 'map\n', 'ares\n']","['18\n', '35\n', '34\n']","To print the string from the first sample it would be optimal to perform the following sequence of rotations: 
 1.  from 'a' to 'z' (1 rotation counterclockwise), 1.  from 'z' to 'e' (5 clockwise rotations), 1.  from 'e' to 'u' (10 rotations counterclockwise), 1.  from 'u' to 's' (2 counterclockwise rotations).",OK,"b = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v',
 'w', 'x', 'y', 'z']
e = input()
g = 0
f = b.index('a')
for d in e:
    a = b.index(d)
    c = min((f - a) % 26, (a - f) % 26)
    g += c
    f = a
print(g)","'''
Chat room - Codeforces
https://codeforces.com/problemset/problem/58/A

Problem Details:
    word_base = ""hello""

    example:
'''
def a(s):
    d = ""hello""
    c = 0

    for b in s:

        if b == d[c]:
            c += 1

        if c == len(d):
            return ""YES""

    return ""NO""

s = input().strip()
print(a(s))"
449,B,Jzzhu and Cities,PROGRAMMING,"['graphs', 'greedy', 'shortest paths']","Jzzhu is the president of country A. There are *n* cities numbered from 1 to *n* in his country. City 1 is the capital of A. Also there are *m* roads connecting the cities. One can go from city *u**i* to *v**i* (and vise versa) using the *i*-th road, the length of this road is *x**i*. Finally, there are *k* train routes in the country. One can use the *i*-th train route to go from capital of the country to city *s**i* (and vise versa), the length of this route is *y**i*.

Jzzhu doesn't want to waste the money of the country, so he is going to close some of the train routes. Please tell Jzzhu the maximum number of the train routes which can be closed under the following condition: the length of the shortest path from every city to the capital mustn't change.","The first line contains three integers *n*,<=*m*,<=*k* (2<=≤<=*n*<=≤<=105; 1<=≤<=*m*<=≤<=3·105; 1<=≤<=*k*<=≤<=105).

Each of the next *m* lines contains three integers *u**i*,<=*v**i*,<=*x**i* (1<=≤<=*u**i*,<=*v**i*<=≤<=*n*; *u**i*<=≠<=*v**i*; 1<=≤<=*x**i*<=≤<=109).

Each of the next *k* lines contains two integers *s**i* and *y**i* (2<=≤<=*s**i*<=≤<=*n*; 1<=≤<=*y**i*<=≤<=109).

It is guaranteed that there is at least one way from every city to the capital. Note, that there can be multiple roads between two cities. Also, there can be multiple routes going to the same city from the capital.",Output a single integer representing the maximum number of the train routes which can be closed.,"['5 5 3\n1 2 1\n2 3 2\n1 3 3\n3 4 4\n1 5 5\n3 5\n4 5\n5 5\n', '2 2 3\n1 2 2\n2 1 3\n2 1\n2 2\n2 3\n']","['2\n', '2\n']",none,RUNTIME_ERROR,"from heapq import i, j, k
n , m ,k = map(int , input().split())
g = [[] for i in range(n)]
for i in range(0 , m):
    a , b , d = map(int , input().split())
    g[a-1].append((b-1,d))
    g[b-1].append((a-1,d))
o = []
for i in range(k):
    a , d = map(int , input().split())
    o.append((a-1,d))
def f(n):
        
        h = []
        i(h)
        e = [100000000] * n
        e[n]=0
        
        s = set()
        
        k(h , (0 , n))
        while len(s) < len(g):

            l , m = j(h)
            s.add(m)
            for c , b in g[m]:

                if e[c] > e[m] + b:
                    e[c] = e[m] + b
                    k(h , (e[c] , c))
        return e
d = f(0)
a = 0
for a , d in o:
    if d[a] <= d:
        a +=1

print(a)","import math

def c(n, l):
    b = abs(l[0] - l[-1])
    i = 0 
    j = n - 1

    for k in range(1, n):

        a = abs(l[k] - l[k - 1])
        if a < b:
            b = a
            i = k - 1
            j = k

    print(i + 1, j + 1)"
358,B,Dima and Text Messages,PROGRAMMING,"['brute force', 'strings']","Seryozha has a very changeable character. This time he refused to leave the room to Dima and his girlfriend (her hame is Inna, by the way). However, the two lovebirds can always find a way to communicate. Today they are writing text messages to each other.

Dima and Inna are using a secret code in their text messages. When Dima wants to send Inna some sentence, he writes out all words, inserting a heart before each word and after the last word. A heart is a sequence of two characters: the ""less"" characters (&lt;) and the digit three (3). After applying the code, a test message looks like that: &lt;3*word*1&lt;3*word*2&lt;3 ... *word**n*&lt;3.

Encoding doesn't end here. Then Dima inserts a random number of small English characters, digits, signs ""more"" and ""less"" into any places of the message.

Inna knows Dima perfectly well, so she knows what phrase Dima is going to send her beforehand. Inna has just got a text message. Help her find out if Dima encoded the message correctly. In other words, find out if a text message could have been received by encoding in the manner that is described above.","The first line contains integer *n* (1<=≤<=*n*<=≤<=105) — the number of words in Dima's message. Next *n* lines contain non-empty words, one word per line. The words only consist of small English letters. The total length of all words doesn't exceed 105. 

The last line contains non-empty text message that Inna has got. The number of characters in the text message doesn't exceed 105. A text message can contain only small English letters, digits and signs more and less.","In a single line, print ""yes"" (without the quotes), if Dima decoded the text message correctly, and ""no"" (without the quotes) otherwise.","['3\ni\nlove\nyou\n&lt;3i&lt;3love&lt;23you&lt;3\n', '7\ni\nam\nnot\nmain\nin\nthe\nfamily\n&lt;3i&lt;&gt;3am&lt;3the&lt;3&lt;main&lt;3in&lt;3the&lt;3&gt;&lt;3family&lt;3\n']","['yes\n', 'no\n']",Please note that Dima got a good old kick in the pants for the second sample from the statement.,WRONG_ANSWER,"import f, d.path
from collections import*
from copy import*
import math
b=10**9+7
if(d.path.exists('input.txt')):
    f.stdin = open(""input.txt"",""r"")
    f.stdout = open(""output.txt"",""w"")

n=int(input())
a='<3'
for i in range(n):
    e=input()
    a+=e
    a+='<3'
c=len(a)
g=input()
m=len(g)
if(c>m):
    print(""NO"")
else:
    c=0
    j=0
    i=0
    while(i<m and j<c):
        if(a[j]==g[i]):
            c+=1
            j+=1
        i+=1
    if(c==c):
        print(""YES"")
    else:
        print(""NO"")","def j(x, y, n):
    return [x + y, y + n - x - 1]

def k():
    n = int(input())
    o, p = [], []
    a = []

    for _ in range(n):
        n = list(map(int, input().split()))
        a.append(n)

    h = [0] * (2 * n)
    i = [0] * (2 * n)

    for i in range(n):
        for j in range(n):
            d = j(i + 1, j + 1, n)[0]
            f = j(i + 1, j + 1, n)[1]
            h[d] += a[i][j]
            i[f] += a[i][j]

    l = 0
    m = (1, 1, 1, 1)

    for i in range(n):
        for j in range(n):
            d = j(i + 1, j + 1, n)[0]
            f = j(i + 1, j + 1, n)[1]

            b = h[d] + i[f] - a[i][j]

            for x in range(n):
                for y in range(n):
                    if (x, y) != (i, j):
                        e = j(x + 1, y + 1, n)[0]
                        g = j(x + 1, y + 1, n)[1]
                        if d != e and f != g:
                            c = h[d] + i[f] - a[i][j] + h[e] + i[g] - a[x][y]
                            if c > l:
                                l = c
                                m = (i + 1, j + 1, x + 1, y + 1)

    print(l)
    print(*m)

if __name__ == ""__main__"":
    k()"
928,A,Login Verification,PROGRAMMING,"['*special', 'strings']","When registering in a social network, users are allowed to create their own convenient login to make it easier to share contacts, print it on business cards, etc.

Login is an arbitrary sequence of lower and uppercase latin letters, digits and underline symbols («_»). However, in order to decrease the number of frauds and user-inattention related issues, it is prohibited to register a login if it is similar with an already existing login. More precisely, two logins *s* and *t* are considered similar if we can transform *s* to *t* via a sequence of operations of the following types: 
 -  transform lowercase letters to uppercase and vice versa; -  change letter «O» (uppercase latin letter) to digit «0» and vice versa; -  change digit «1» (one) to any letter among «l» (lowercase latin «L»), «I» (uppercase latin «i») and vice versa, or change one of these letters to other. 
For example, logins «Codeforces» and «codef0rces» as well as «OO0OOO00O0OOO0O00OOO0OO_lol» and «OO0OOO0O00OOO0O00OO0OOO_1oI» are considered similar whereas «Codeforces» and «Code_forces» are not.

You're given a list of existing logins with no two similar amonst and a newly created user login. Check whether this new login is similar with any of the existing ones.","The first line contains a non-empty string *s* consisting of lower and uppercase latin letters, digits and underline symbols («_») with length not exceeding 50  — the login itself.

The second line contains a single integer *n* (1<=≤<=*n*<=≤<=1<=000) — the number of existing logins.

The next *n* lines describe the existing logins, following the same constraints as the user login (refer to the first line of the input). It's guaranteed that no two existing logins are similar.","Print «Yes» (without quotes), if user can register via this login, i.e. none of the existing logins is similar with it.

Otherwise print «No» (without quotes).","['1_wat\n2\n2_wat\nwat_1\n', '000\n3\n00\nooA\noOo\n', '_i_\n3\n__i_\n_1_\nI\n', 'La0\n3\n2a0\nLa1\n1a0\n', 'abc\n1\naBc\n', '0Lil\n2\nLIL0\n0Ril\n']","['Yes\n', 'No\n', 'No\n', 'No\n', 'No\n', 'Yes\n']","In the second sample case the user wants to create a login consisting of three zeros. It's impossible due to collision with the third among the existing.

In the third sample case the new login is similar with the second one.",OK,"a = input()
b = """"
for j in range(len(a)):
    c = a[j]
    if 'A' <= c <= 'Z':
        c = chr(ord(c) + ord('a') - ord('A'))
    if c == 'o':
        c = '0'
    if c == 'l' or c == 'i':
        c = '1'
    b += c
s = b
n = int(input())
for i in range(n):
    a = input()
    b = """"
    for j in range(len(a)):
        c = a[j]
        if 'A' <= c <= 'Z':
            c = chr(ord(c) + ord('a') - ord('A'))
        if c == 'o':
            c = '0'
        if c == 'l' or c == 'i':
            c = '1'
        b += c
    if s == b:
        print(""No"")
        exit()
print(""Yes"")","import g

def a():
    return g.stdin.readline().strip()

def c(n, d, f):
    i = sum(f)
    h = 10 * (n - 1) if n > 1 else 0
    
    j = i + h
    if j > d:
        return -1
    
    d = d - j
    b = d // 5

    return (n - 1) * 2 + b

n, d = map(int, a().split())
f = list(map(int, a().split()))

e = c(n, d, f)

print(e)"
34,C,Page Numbers,PROGRAMMING,"['expression parsing', 'implementation', 'sortings', 'strings']","«Bersoft» company is working on a new version of its most popular text editor — Bord 2010. Bord, like many other text editors, should be able to print out multipage documents. A user keys a sequence of the document page numbers that he wants to print out (separates them with a comma, without spaces).

Your task is to write a part of the program, responsible for «standardization» of this sequence. Your program gets the sequence, keyed by the user, as input. The program should output this sequence in format *l*1-*r*1,*l*2-*r*2,...,*l**k*-*r**k*, where *r**i*<=+<=1<=&lt;<=*l**i*<=+<=1 for all *i* from 1 to *k*<=-<=1, and *l**i*<=≤<=*r**i*. The new sequence should contain all the page numbers, keyed by the user, and nothing else. If some page number appears in the input sequence several times, its appearances, starting from the second one, should be ignored. If for some element *i* from the new sequence *l**i*<==<=*r**i*, this element should be output as *l**i*, and not as «*l**i*<=-<=*l**i*».

For example, sequence 1,2,3,1,1,2,6,6,2 should be output as 1-3,6.","The only line contains the sequence, keyed by the user. The sequence contains at least one and at most 100 positive integer numbers. It's guaranteed, that this sequence consists of positive integer numbers, not exceeding 1000, separated with a comma, doesn't contain any other characters, apart from digits and commas, can't end with a comma, and the numbers don't contain leading zeroes. Also it doesn't start with a comma or contain more than one comma in a row.",Output the sequence in the required format.,"['1,2,3,1,1,2,6,6,2\n', '3,2,1\n', '30,20,10\n']","['1-3,6\n', '1-3\n', '10,20,30\n']",none,OK,"a = sorted(set(map(int, input().split("",""))))
a = b = a[0]
for x in a[1:]:
    if x - b > 1:
        if a == b:
            print(a, end="","")
        else:
            print(a, b, sep=""-"", end="","")
        a = x
    b = x
if a == b:
    print(a)
else:
    print(a, b, sep=""-"")","def e(n, a):
    d = {}
    for i in a:
        d[i] = d.get(i, 0) + 1
    d = 0

    f = sorted(d.keys())

    c = -1

    for b in f:

        if b - 1 != c:

            d += b * d[b]
            c = b
        else:

            if b + 1 in d:

                d += b * d[b]
            else:

                d += b * d[b]

    print(d)

n = int(input())
a = list(map(int, input().split()))
e(n, a)"
471,A,MUH and Sticks,PROGRAMMING,['implementation'],"Two polar bears Menshykov and Uslada from the St.Petersburg zoo and elephant Horace from the Kiev zoo got six sticks to play with and assess the animals' creativity. Menshykov, Uslada and Horace decided to make either an elephant or a bear from those sticks. They can make an animal from sticks in the following way: 
 -  Four sticks represent the animal's legs, these sticks should have the same length. -  Two remaining sticks represent the animal's head and body. The bear's head stick must be shorter than the body stick. The elephant, however, has a long trunk, so his head stick must be as long as the body stick. Note that there are no limits on the relations between the leg sticks and the head and body sticks. 
Your task is to find out which animal can be made from the given stick set. The zoo keeper wants the sticks back after the game, so they must never be broken, even bears understand it.",The single line contains six space-separated integers *l**i* (1<=≤<=*l**i*<=≤<=9) — the lengths of the six sticks. It is guaranteed that the input is such that you cannot make both animals from the sticks.,"If you can make a bear from the given set, print string ""Bear"" (without the quotes). If you can make an elephant, print string ""Elephant"" (wıthout the quotes). If you can make neither a bear nor an elephant, print string ""Alien"" (without the quotes).","['4 2 5 4 4 4\n', '4 4 5 4 4 5\n', '1 2 3 4 5 6\n']","['Bear', 'Elephant', 'Alien']","If you're out of creative ideas, see instructions below which show how to make a bear and an elephant in the first two samples. The stick of length 2 is in red, the sticks of length 4 are in green, the sticks of length 5 are in blue.",WRONG_ANSWER,"'''input
4 2 5 4 4 4
'''
l = list(map(int, input().split()))
x = sorted([l.count(i) for i in set(l)])
if x == [6] or x == [2, 4]:
	print(""Elephant"")
elif x == [1, 1, 4]:
	print(""Bear"")
else:
	print(""Alien"")","d={}
def a(l,m,s,i,c):
    if s % m == 0 and c != 0:
        return 1 
    if i >= l:
        return 0 

    c = a(l, m, s + a[i], i + 1, c + 1)

    b = a(l, m, s, i + 1, c)

    return c or b

n, m = map(int, input().split())
a = list(map(int, input().split()))

if n > m:
    print(""YES"")
else:
    if a(n, m, 0, 0, 0):
        print(""YES"")
    else:
        print(""NO"")"
339,A,Helpful Maths,PROGRAMMING,"['greedy', 'implementation', 'sortings', 'strings']","Xenia the beginner mathematician is a third year student at elementary school. She is now learning the addition operation.

The teacher has written down the sum of multiple numbers. Pupils should calculate the sum. To make the calculation easier, the sum only contains numbers 1, 2 and 3. Still, that isn't enough for Xenia. She is only beginning to count, so she can calculate a sum only if the summands follow in non-decreasing order. For example, she can't calculate sum 1+3+2+1 but she can calculate sums 1+1+2 and 3+3.

You've got the sum that was written on the board. Rearrange the summans and print the sum in such a way that Xenia can calculate the sum.","The first line contains a non-empty string *s* — the sum Xenia needs to count. String *s* contains no spaces. It only contains digits and characters ""+"". Besides, string *s* is a correct sum of numbers 1, 2 and 3. String *s* is at most 100 characters long.",Print the new sum that Xenia can count.,"['3+2+1\n', '1+1+3+1+3\n', '2\n']","['1+2+3\n', '1+1+1+3+3\n', '2\n']",none,OK,"b = input()
a=[]
for i in b :
     if i.isdigit():
         a.append((""+""+i))
a.sort()
x=("""".join(a[0:]))
print(x.replace(""+"","""",1))","def b(d):
    def c(d, g, j):
        j[g] = True
        e = a[g]
        h = [g]
        
        while h:
            a = h.pop()
            for f in d[a]:
                if not j[f]:
                    j[f] = True
                    h.append(f)
                    e = min(e, a[f])
        
        return e
    
    n = len(d)
    a = [0] * n
    i = 0
    j = [False] * n

    for i in range(n):
        if not j[i]:
            i += c(d, i, j)
        
    return i

n, m = map(int, input().split())
a = list(map(int, input().split()))
d = [[] for _ in range(n)]

for _ in range(m):
    x, y = map(int, input().split())
    d[x - 1].append(y - 1)
    d[y - 1].append(x - 1)

print(b(d))"
766,A,Mahmoud and Longest Uncommon Subsequence,PROGRAMMING,"['constructive algorithms', 'strings']","While Mahmoud and Ehab were practicing for IOI, they found a problem which name was Longest common subsequence. They solved it, and then Ehab challenged Mahmoud with another problem.

Given two strings *a* and *b*, find the length of their longest uncommon subsequence, which is the longest string that is a subsequence of one of them and not a subsequence of the other.

A subsequence of some string is a sequence of characters that appears in the same order in the string, The appearances don't have to be consecutive, for example, strings ""ac"", ""bc"", ""abc"" and ""a"" are subsequences of string ""abc"" while strings ""abbc"" and ""acb"" are not. The empty string is a subsequence of any string. Any string is a subsequence of itself.","The first line contains string *a*, and the second line — string *b*. Both of these strings are non-empty and consist of lowercase letters of English alphabet. The length of each string is not bigger than 105 characters.","If there's no uncommon subsequence, print ""-1"". Otherwise print the length of the longest uncommon subsequence of *a* and *b*.","['abcd\ndefgh\n', 'a\na\n']","['5\n', '-1\n']","In the first example: you can choose ""defgh"" from string *b* as it is the longest subsequence of string *b* that doesn't appear as a subsequence of string *a*.",OK,"a = input()
b = input()

if a == b:
    print(-1)
elif len(a) > len(b):
    print(len(a))
elif len(b) > len(a):
    print(len(b))
else:
    print(len(a))","def a(j):
    e = 1
    g = 1
    for i in range(1, len(j)):
        if j[i] == j[i - 1] and j[i] == 1:
            g += 1
        else:
            e = max(e, g)
            g = 1 if j[i] == 1 else 0
    e = max(e, g)
    return e

def d():
    import l
    input = l.stdin.read
    b = input().splitlines()
    
    n, m, q = map(int, b[0].split())
    c = [list(map(int, b[i + 1].split())) for i in range(n)]
    h = [tuple(map(int, b[i + n + 1].split())) for i in range(q)]

    k = []
    for i in h:
        i, j = i
        i -= 1
        j -= 1
        
        c[i][j] = 1 - c[i][j]
        
        f = 0
        for j in c:
            f = max(f, a(j))

        k.append(f)

    print('\n'.join(map(str, k)))

if __name__ == ""__main__"":
    d()"
58,A,Chat room,PROGRAMMING,"['greedy', 'strings']","Vasya has recently learned to type and log on to the Internet. He immediately entered a chat room and decided to say hello to everybody. Vasya typed the word *s*. It is considered that Vasya managed to say hello if several letters can be deleted from the typed word so that it resulted in the word ""hello"". For example, if Vasya types the word ""ahhellllloou"", it will be considered that he said hello, and if he types ""hlelo"", it will be considered that Vasya got misunderstood and he didn't manage to say hello. Determine whether Vasya managed to say hello by the given word *s*.","The first and only line contains the word *s*, which Vasya typed. This word consisits of small Latin letters, its length is no less that 1 and no more than 100 letters.","If Vasya managed to say hello, print ""YES"", otherwise print ""NO"".","['ahhellllloou\n', 'hlelo\n']","['YES\n', 'NO\n']",none,WRONG_ANSWER,"d=['h','e','l','o']
a=list(input())
e=[]
for j in a:
    if j not in e and j in d:
        e.append(j)
if e==d and a.count('l')>=2:
    print(""YES"")
else:
    print(""NO"")","import d
from math import b

def a(a: int, b: int, n: int) -> int:

    while n > 0:

        f = b(a, n)
        if f > n:
            return 1
        n -= f

        e = b(b, n)
        if e > n:
            return 0
        n -= e

if __name__ == ""__main__"":

    c = d.stdin.read().strip()
    a, b, n = map(int, c.split())

    print(a(a, b, n))"
978,B,File Name,PROGRAMMING,"['greedy', 'strings']","You can not just take the file and send it. When Polycarp trying to send a file in the social network ""Codehorses"", he encountered an unexpected problem. If the name of the file contains three or more ""x"" (lowercase Latin letters ""x"") in a row, the system considers that the file content does not correspond to the social network topic. In this case, the file is not sent and an error message is displayed.

Determine the minimum number of characters to remove from the file name so after that the name does not contain ""xxx"" as a substring. Print 0 if the file name does not initially contain a forbidden substring ""xxx"".

You can delete characters in arbitrary positions (not necessarily consecutive). If you delete a character, then the length of a string is reduced by $1$. For example, if you delete the character in the position $2$ from the string ""exxxii"", then the resulting string is ""exxii"".","The first line contains integer $n$ $(3 \le n \le 100)$ — the length of the file name.

The second line contains a string of length $n$ consisting of lowercase Latin letters only — the file name.","Print the minimum number of characters to remove from the file name so after that the name does not contain ""xxx"" as a substring. If initially the file name dost not contain a forbidden substring ""xxx"", print 0.","['6\nxxxiii\n', '5\nxxoxx\n', '10\nxxxxxxxxxx\n']","['1\n', '0\n', '8\n']","In the first example Polycarp tried to send a file with name contains number $33$, written in Roman numerals. But he can not just send the file, because it name contains three letters ""x"" in a row. To send the file he needs to remove any one of this letters.",WRONG_ANSWER,"n = int(input())
l = list(input())
a = 0
for x in reversed(range(n)):
    if x < 2:
        break
    if l[x] == ""x"" and l[x-1] == ""x"" and l[x-2] == ""x"":
        l.remove(l[x])
        a = a + 1
print(a)","def a(a,b):
    if b == 0:
        return a
    else:
        return a(b, a % b)

def b(a, b):
    return a // a(a, b) * b

def e(d):

    def f(x):
        while x % 2 == 0:
            x //= 2
        while x % 3 == 0:
            x //= 3
        return x

    g = set(f(c) for c in d)

    return len(g) == 1

n = int(input().strip())
d = list(map(int, input().strip().split()))

if e(d):
    print(""Yes"")
else:
    print(""No"")"
