contestId,index,name,type,tags,problem-description,input-specification,output-specification,demo-input,demo-output,note,verdict,code,ai_generated_code
604,A,Uncowed Forces,PROGRAMMING,['implementation'],"Kevin Sun has just finished competing in Codeforces Round #334! The round was 120 minutes long and featured five problems with maximum point values of 500, 1000, 1500, 2000, and 2500, respectively. Despite the challenging tasks, Kevin was uncowed and bulldozed through all of them, distinguishing himself from the herd as the best cowmputer scientist in all of Bovinia. Kevin knows his submission time for each problem, the number of wrong submissions that he made on each problem, and his total numbers of successful and unsuccessful hacks. Because Codeforces scoring is complicated, Kevin wants you to write a program to compute his final score.

Codeforces scores are computed as follows: If the maximum point value of a problem is *x*, and Kevin submitted correctly at minute *m* but made *w* wrong submissions, then his score on that problem is . His total score is equal to the sum of his scores for each problem. In addition, Kevin's total score gets increased by 100 points for each successful hack, but gets decreased by 50 points for each unsuccessful hack.

All arithmetic operations are performed with absolute precision and no rounding. It is guaranteed that Kevin's final score is an integer.","The first line of the input contains five space-separated integers *m*1, *m*2, *m*3, *m*4, *m*5, where *m**i* (0<=≤<=*m**i*<=≤<=119) is the time of Kevin's last submission for problem *i*. His last submission is always correct and gets accepted.

The second line contains five space-separated integers *w*1, *w*2, *w*3, *w*4, *w*5, where *w**i* (0<=≤<=*w**i*<=≤<=10) is Kevin's number of wrong submissions on problem *i*.

The last line contains two space-separated integers *h**s* and *h**u* (0<=≤<=*h**s*,<=*h**u*<=≤<=20), denoting the Kevin's numbers of successful and unsuccessful hacks, respectively.","Print a single integer, the value of Kevin's final score.","['20 40 60 80 100\n0 1 2 3 4\n1 0\n', '119 119 119 119 119\n0 0 0 0 0\n10 0\n']","['4900\n', '4930\n']","In the second sample, Kevin takes 119 minutes on all of the problems. Therefore, he gets <img align=""middle"" class=""tex-formula"" src=""https://espresso.codeforces.com/42158dc2bc78cd21fa679530ae9ef8b9ea298d15.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> of the points on each problem. So his score from solving problems is <img align=""middle"" class=""tex-formula"" src=""https://espresso.codeforces.com/fdf392d8508500b57f8057ac0c4c892ab5f925a2.png"" style=""max-width: 100.0%;max-height: 100.0%;""/>. Adding in 10·100 = 1000 points from hacks, his total score becomes 3930 + 1000 = 4930.",OK,"def b(x,m,w):
    t=(1-(m/250))*x - (50*w)
    return max(0.3*x,t)

c=[500,1000,1500,2000,2500]
m=list(map(int, input().split()))
w=list(map(int, input().split()))
s,u=map(int,input().split())

a=0

for i in range(5):
    a+=b(c[i],m[i],w[i])
a+=(100*s)
a-=(50*u)
print(int(a))","def a(f, k, g, i):

    d = [500, 1000, 1500, 2000, 2500]

    h = 0
    for i in range(5):
        c = f[i]
        j = k[i]

        e = max(0, d[i] - 50 * j - (c // 3))
        h += e

    h += (g * 100) - (i * 50)
    
    return h

f = list(map(int, input().split()))
k = list(map(int, input().split()))
g, i = map(int, input().split())

b = a(f, k, g, i)
print(b)"
322,B,Ciel and Flowers,PROGRAMMING,"['combinatorics', 'math']","Fox Ciel has some flowers: *r* red flowers, *g* green flowers and *b* blue flowers. She wants to use these flowers to make several bouquets. There are 4 types of bouquets:
 -  To make a ""red bouquet"", it needs 3 red flowers. -  To make a ""green bouquet"", it needs 3 green flowers. -  To make a ""blue bouquet"", it needs 3 blue flowers. -  To make a ""mixing bouquet"", it needs 1 red, 1 green and 1 blue flower. 
Help Fox Ciel to find the maximal number of bouquets she can make.","The first line contains three integers *r*, *g* and *b* (0<=≤<=*r*,<=*g*,<=*b*<=≤<=109) — the number of red, green and blue flowers.",Print the maximal number of bouquets Fox Ciel can make.,"['3 6 9\n', '4 4 4\n', '0 0 0\n']","['6\n', '4\n', '0\n']","In test case 1, we can make 1 red bouquet, 2 green bouquets and 3 blue bouquets.

In test case 2, we can make 1 red, 1 green, 1 blue and 1 mixing bouquet.",OK,"def f(x): return x // 3

r, g, b = map(int, input().split())
m = min(r, g, b)
a = 0
for i in range(max(0, m - 30), m + 1):
    a = max(a, i + f(r - i) + f(g - i) + f(b - i))
print(a)","def c(r, g, b):

    d = 0

    e = min(r, g, b)
    d += e

    r -= e
    g -= e
    b -= e

    d += r // 3
    d += g // 3
    d += b // 3

    return d

import g
input = g.stdin.read
a = input().strip().splitlines()

f = []
for b in a:
    r, g, b = map(int, b.split())
    f.append(str(c(r, g, b)))

print('\n'.join(f))"
808,D,Array Division,PROGRAMMING,"['binary search', 'data structures', 'implementation']","Vasya has an array *a* consisting of positive integer numbers. Vasya wants to divide this array into two non-empty consecutive parts (the prefix and the suffix) so that the sum of all elements in the first part equals to the sum of elements in the second part. It is not always possible, so Vasya will move some element before dividing the array (Vasya will erase some element and insert it into an arbitrary position).

Inserting an element in the same position he was erased from is also considered moving.

Can Vasya divide the array after choosing the right element to move and its new position?","The first line contains single integer *n* (1<=≤<=*n*<=≤<=100000) — the size of the array.

The second line contains *n* integers *a*1,<=*a*2... *a**n* (1<=≤<=*a**i*<=≤<=109) — the elements of the array.",Print YES if Vasya can divide the array after moving one element. Otherwise print NO.,"['3\n1 3 2\n', '5\n1 2 3 4 5\n', '5\n2 2 3 4 5\n']","['YES\n', 'NO\n', 'YES\n']","In the first example Vasya can move the second element to the end of the array.

In the second example no move can make the division possible.

In the third example Vasya can move the fourth element by one position to the left.",OK,"n = int(input())
a = list(map(int, input().split()))
def f(n, a):
    s = sum(a)
    if n == 1 or s & 1:
        print('NO')
        return
    b = s // 2
    def c(a):
        e, g = 0, {0}
        for d in a:
            g.add(d)
            e += d
            if e - b in g: return True
        return False
    print('YES' if c(a) or c(a[::-1]) else 'NO')

f(n, a)","def a(n, a):
    e = sum(a)
    b = 0

    c = set()
    
    for i in range(n - 1):
        b += a[i]

        if (e - a[i]) % 2 == 0:
            d = (e - a[i]) // 2
            if d in c or d == b:
                return 'YES'
        
        c.add(b)

    return 'NO'

n = int(input())
a = list(map(int, input().split()))

print(a(n, a))"
982,E,Billiard,PROGRAMMING,"['geometry', 'number theory']","Consider a [billiard table](https://en.wikipedia.org/wiki/Billiard_table) of rectangular size $n \times m$ with four pockets. Let's introduce a coordinate system with the origin at the lower left corner (see the picture). 

There is one ball at the point $(x, y)$ currently. Max comes to the table and strikes the ball. The ball starts moving along a line that is parallel to one of the axes or that makes a $45^{\circ}$ angle with them. We will assume that: 
 1.  the angles between the directions of the ball before and after a collision with a side are equal, 1.  the ball moves indefinitely long, it only stops when it falls into a pocket, 1.  the ball can be considered as a point, it falls into a pocket if and only if its coordinates coincide with one of the pockets, 1.  initially the ball is not in a pocket. 
Note that the ball can move along some side, in this case the ball will just fall into the pocket at the end of the side.

Your task is to determine whether the ball will fall into a pocket eventually, and if yes, which of the four pockets it will be.","The only line contains $6$ integers $n$, $m$, $x$, $y$, $v_x$, $v_y$ ($1 \leq n, m \leq 10^9$, $0 \leq x \leq n$; $0 \leq y \leq m$; $-1 \leq v_x, v_y \leq 1$; $(v_x, v_y) \neq (0, 0)$) — the width of the table, the length of the table, the $x$-coordinate of the initial position of the ball, the $y$-coordinate of the initial position of the ball, the $x$-component of its initial speed and the $y$-component of its initial speed, respectively. It is guaranteed that the ball is not initially in a pocket.","Print the coordinates of the pocket the ball will fall into, or $-1$ if the ball will move indefinitely.","['4 3 2 2 -1 1\n', '4 4 2 0 1 1\n', '10 10 10 1 -1 0\n']","['0 0', '-1', '-1']","The first sample: 

The second sample: 

In the third sample the ball will never change its $y$ coordinate, so the ball will never fall into a pocket.",RUNTIME_ERROR,"from sys import c
from math import r

def a(n, m, x, y, s, t):
    if s == 0:
        if t == 0:
            return -1            
                    
        if x == 0:
            
            if t > 0:
                return 0, n
            
            elif t < 0:
                return 0, 0
            
        elif x == m:
            
            if t > 0:
                return m, 0
            
            elif t < 0:
                return m, n
        else: 
            return -1
            
    if t == 0:
        if y == 0:
            
            if s > 0:
                return m, 0
            
            elif s < 0:
                return 0, 0
            
        elif y == n:
            
            if s > 0:
                return m, n
            
            elif s < 0:
                return 0, n
            
        else:
            return -1

    p = t/s
    r = y - p * x

    d, f, h = b(m, abs(-n * p))

    if r % d != 0:
        return -1

    f = f * r / d 
    h = h * r / d

    m, n = -2**10, -2**10
    o, p = 2**10, 2**10  

    if s > 0:
        o = (h / m) * d
    else:
        m = ((h - 1) / m) * d

    if t > 0:
        p = (f / (n * p)) * d
    else:
        n = ((f - 1) / (n * p)) * d
        
    t = 0    

    if s == t:
        if t > 0: 
            t = min(r(p), r(o))
            
        else:
            t = max(r(m), r(n))
                    
        d  = t
        g = 0
        l = True
            
        while(l):
            g = h - (m/d) * t
                
            if (abs(g) > (abs(h - (m/d) * d))):
                l = False
                t = d
            else:
                d = t
                t = t - 1
                
    else:
        m = max(r(m), r(n))
        o = min(r(p), r(o))
        
        for i in range(0, (o + 1 - m) // 2):
            i = h - (m/d) * (m + i)
            j = h - (m/d) * (o + 1 - i)

            if abs(i) < abs(d):
                d = i
                t = m + i
            elif abs(j) < abs(d):
                d = j
                t = o + 1 - i   
        g = g = h - (m/d) * t

    e = f - (n* p * t) / d

    return (g % 2) * m, (e % 2) * n    
    
    
def b(a, b):
    if b > a:
        q = a
        a = b
        b = q
    
    r = a % b   
    if r == 0:
        return b, 1, 0
    
    d, u, v = b(b, a % b)

    x = v - (u * r(a/b))
    y = u
    
    return d, x, y

def k():
    _, n, m, x, y, s, t = c
    print(a(int(n), int(m), int(x), int(y), int(s), int(t)))
    
k()","def a(n, m, x, y, k, l):

    if k > 0:
        j = (n - x) / k
    elif k < 0:
        j = x / abs(k)
    else:
        j = float('inf')

    if l > 0:
        i = (m - y) / l
    elif l < 0:
        i = y / abs(l)
    else:
        i = float('inf')

    t = min(j, i)

    d = x + k * t
    e = y + l * t

    if t == j:
        if k > 0:
            d = n
        else:
            d = 0

        e += l * j
        if e < 0 or e > m:
            return -1
    else:
        if l > 0:
            e = m
        else:
            e = 0

        d += k * i
        if d < 0 or d > n:
            return -1

    if d == 0 and e == 0:
        return (0, 0)
    elif d == n and e == 0:
        return (n, 0)
    elif d == 0 and e == m:
        return (0, m)
    elif d == n and e == m:
        return (n, m)

    return -1

import h
b = h.stdin.read().strip().splitlines()

g = []
for c in b:
    n, m, x, y, k, l = map(int, c.split())
    f = a(n, m, x, y, k, l)
    if f == -1:
        g.append(""-1"")
    else:
        g.append(f""{f[0]} {f[1]}"")

print(""\n"".join(g))"
733,D,Kostya the Sculptor,PROGRAMMING,"['data structures', 'hashing']","Kostya is a genial sculptor, he has an idea: to carve a marble sculpture in the shape of a sphere. Kostya has a friend Zahar who works at a career. Zahar knows about Kostya's idea and wants to present him a rectangular parallelepiped of marble from which he can carve the sphere. 

Zahar has *n* stones which are rectangular parallelepipeds. The edges sizes of the *i*-th of them are *a**i*, *b**i* and *c**i*. He can take no more than two stones and present them to Kostya. 

If Zahar takes two stones, he should glue them together on one of the faces in order to get a new piece of rectangular parallelepiped of marble. Thus, it is possible to glue a pair of stones together if and only if two faces on which they are glued together match as rectangles. In such gluing it is allowed to rotate and flip the stones in any way. 

Help Zahar choose such a present so that Kostya can carve a sphere of the maximum possible volume and present it to Zahar.","The first line contains the integer *n* (1<=≤<=*n*<=≤<=105).

*n* lines follow, in the *i*-th of which there are three integers *a**i*,<=*b**i* and *c**i* (1<=≤<=*a**i*,<=*b**i*,<=*c**i*<=≤<=109) — the lengths of edges of the *i*-th stone. Note, that two stones may have exactly the same sizes, but they still will be considered two different stones.","In the first line print *k* (1<=≤<=*k*<=≤<=2) the number of stones which Zahar has chosen. In the second line print *k* distinct integers from 1 to *n* — the numbers of stones which Zahar needs to choose. Consider that stones are numbered from 1 to *n* in the order as they are given in the input data.

You can print the stones in arbitrary order. If there are several answers print any of them.","['6\n5 5 5\n3 2 4\n1 4 1\n2 1 3\n3 2 4\n3 3 4\n', '7\n10 7 8\n5 10 3\n4 2 6\n5 5 5\n10 2 8\n4 2 1\n7 7 7\n']","['1\n1\n', '2\n1 5\n']","In the first example we can connect the pairs of stones:
 -  2 and 4, the size of the parallelepiped: 3 × 2 × 5, the radius of the inscribed sphere 1 -  2 and 5, the size of the parallelepiped: 3 × 2 × 8 or 6 × 2 × 4 or 3 × 4 × 4, the radius of the inscribed sphere 1, or 1, or 1.5 respectively. -  2 and 6, the size of the parallelepiped: 3 × 5 × 4, the radius of the inscribed sphere 1.5 -  4 and 5, the size of the parallelepiped: 3 × 2 × 5, the radius of the inscribed sphere 1 -  5 and 6, the size of the parallelepiped: 3 × 4 × 5, the radius of the inscribed sphere 1.5 
Or take only one stone:
 -  1 the size of the parallelepiped: 5 × 5 × 5, the radius of the inscribed sphere 2.5 -  2 the size of the parallelepiped: 3 × 2 × 4, the radius of the inscribed sphere 1 -  3 the size of the parallelepiped: 1 × 4 × 1, the radius of the inscribed sphere 0.5 -  4 the size of the parallelepiped: 2 × 1 × 3, the radius of the inscribed sphere 0.5 -  5 the size of the parallelepiped: 3 × 2 × 4, the radius of the inscribed sphere 1 -  6 the size of the parallelepiped: 3 × 3 × 4, the radius of the inscribed sphere 1.5 
It is most profitable to take only the first stone.",RUNTIME_ERROR,"class a:
    def __init__(q, f=2, l=1453):
        q.f = f
        q.l = l
        q.table = []

    def b(q, r):
        p = q.table
        for i in range(q.f-1):
            if len(p) == 0:
                p.extend([[] for i in range(q.l)])
            d = r[i] % q.l
            p = p[d]

        d = r[q.f-1] % q.l
        if len(p) == 0:
            p.extend([[] for i in range(q.l)])
        p[d].append(r)

    def i(q, r):
        p = q.table
        f = 0
        while f < q.f and len(p) > 0:
            d = r[f] % q.l
            p = p[d]
            f += 1

        if f < q.f or len(p) == 0:
            return None

        k = 0
        c = None
        d = 0

        for e in p:
            while d < q.f and e[d] == r[d]:
                d += 1
            if d < q.f:
                break
            if k < e[d]:
                k = e[d]
                c = e                

        return c

if __name__ == '__main__':

    g = a()

    h = open('input.txt', ""r"")

    n = int(input())
    j = 0
    m = [0]

    for i in range(1, n+1):

        r = sorted(list(map(int, input().split())),
                     reverse=True) + [i]
        c = g.i(r)

        if c is not None:
            r[2] += c[2]
            o = min(r[:-1])
            if  o > j:
                m = [c[3], r[3]]
                j = o
        else:
            if r[2] > j:
                m = [r[3]]
                j = r[2]
        
        g.b(r)

    print(len(m), file=n)
    print("" "".join(map(str, m)), file=n)","def i(a, b, c):

    return min(a, b, c) / 2

def c(j, k):

    return (j[0] == k[0] and j[1] == k[1]) or\
           (j[0] == k[1] and j[1] == k[0]) or\
           (j[0] == k[0] and j[2] == k[2]) or\
           (j[0] == k[2] and j[2] == k[0]) or\
           (j[1] == k[1] and j[2] == k[2]) or\
           (j[1] == k[2] and j[2] == k[1])

def h():
    import m
    input = m.stdin.read
    g = input().strip().split('\n')
    
    n = int(g[0])
    l = []
    
    for i in range(1, n + 1):
        a, b, c = map(int, g[i].split())
        l.append(sorted([a, b, c]))
    
    b = 0
    a = (0, [])

    for i in range(n):
        r = i(*l[i])
        if r > b:
            b = r
            a = (1, [i + 1])

    for i in range(n):
        for j in range(i + 1, n):
            if c(l[i], l[j]):
                d = max(l[i][0], l[j][0])
                e = max(l[i][1], l[j][1])
                f = l[i][2] + l[j][2]
                r = i(d, e, f)
                
                if r > b:
                    b = r
                    a = (2, [i + 1, j + 1])

    print(a[0])
    print(' '.join(map(str, a[1])))

if __name__ == ""__main__"":
    h()"
50,A,Domino piling,PROGRAMMING,"['greedy', 'math']","You are given a rectangular board of *M*<=×<=*N* squares. Also you are given an unlimited number of standard domino pieces of 2<=×<=1 squares. You are allowed to rotate the pieces. You are asked to place as many dominoes as possible on the board so as to meet the following conditions:

1. Each domino completely covers two squares.

2. No two dominoes overlap.

3. Each domino lies entirely inside the board. It is allowed to touch the edges of the board.

Find the maximum number of dominoes, which can be placed under these restrictions.",In a single line you are given two integers *M* and *N* — board sizes in squares (1<=≤<=*M*<=≤<=*N*<=≤<=16).,"Output one number — the maximal number of dominoes, which can be placed.","['2 4\n', '3 3\n']","['4\n', '4\n']",none,OK,"m, n = list(map(int,input().split("" "")))
print(m*n//2)","def d(m, n):

    g = m * n

    return g // 2

def c():
    import f
    a = f.stdin.read().strip().splitlines()
    
    for b in a:
        if b:

            m, n = map(int, b.split())

            e = d(m, n)

            print(e)

if __name__ == ""__main__"":
    c()"
219,C,Color Stripe,PROGRAMMING,"['brute force', 'dp', 'greedy']","A colored stripe is represented by a horizontal row of *n* square cells, each cell is pained one of *k* colors. Your task is to repaint the minimum number of cells so that no two neighbouring cells are of the same color. You can use any color from 1 to *k* to repaint the cells.","The first input line contains two integers *n* and *k* (1<=≤<=*n*<=≤<=5·105; 2<=≤<=*k*<=≤<=26). The second line contains *n* uppercase English letters. Letter ""A"" stands for the first color, letter ""B"" stands for the second color and so on. The first *k* English letters may be used. Each letter represents the color of the corresponding cell of the stripe.",Print a single integer — the required minimum number of repaintings. In the second line print any possible variant of the repainted stripe.,"['6 3\nABBACC\n', '3 2\nBBB\n']","['2\nABCACA\n', '1\nBAB\n']",none,OK,"n, k = map(int, input().split())

s = list(input())

if k > 2:
    c = set(ord(""A"") + i for i in range(26))
    r = 0
    for i in range(1,len(s)):
        if s[i-1] == s[i]:
            r += 1
            if i + 1 < n:
                s[i] = ""A"" if ""A"" not in {s[i-1], s[i+1]} else ('B' if ""B"" not in {s[i], s[i+1]} else ""C"")
            else:
                s[i] = ""A"" if s[i-1] != ""A"" else ""B""
    
    print(r)
    print("""".join(s))

else:
    x, y = ""AB"" * n, ""BA"" * n
    def a(x, y):
        return sum(x[i] != y[i] for i in range(n))
    b = a(x, s)
    c = a(y, s)
    z = [x,y][b > c]
    print(min(b, c))
    print(z[:n])","def d(n, k, i):

    i = list(i)

    h = 0

    for i in range(1, n):

        if i[i] == i[i - 1]:
            h += 1

            for a in range(ord('A'), ord('A') + k):
                e = chr(a)
                if i + 1 < n and e == i[i + 1]:
                    continue
                i[i] = e
                break

    g = ''.join(i)
    
    return h, g

c = ['6 3\nABBACC\n', '3 2\nBBB\n']
for b in c:
    n, k = map(int, b.split()[0:2])
    i = b.split()[1]

    h, f = d(n, k, i)

    print(h)
    print(f)"
337,A,Puzzles,PROGRAMMING,['greedy'],"The end of the school year is near and Ms. Manana, the teacher, will soon have to say goodbye to a yet another class. She decided to prepare a goodbye present for her *n* students and give each of them a jigsaw puzzle (which, as wikipedia states, is a tiling puzzle that requires the assembly of numerous small, often oddly shaped, interlocking and tessellating pieces).

The shop assistant told the teacher that there are *m* puzzles in the shop, but they might differ in difficulty and size. Specifically, the first jigsaw puzzle consists of *f*1 pieces, the second one consists of *f*2 pieces and so on.

Ms. Manana doesn't want to upset the children, so she decided that the difference between the numbers of pieces in her presents must be as small as possible. Let *A* be the number of pieces in the largest puzzle that the teacher buys and *B* be the number of pieces in the smallest such puzzle. She wants to choose such *n* puzzles that *A*<=-<=*B* is minimum possible. Help the teacher and find the least possible value of *A*<=-<=*B*.","The first line contains space-separated integers *n* and *m* (2<=≤<=*n*<=≤<=*m*<=≤<=50). The second line contains *m* space-separated integers *f*1,<=*f*2,<=...,<=*f**m* (4<=≤<=*f**i*<=≤<=1000) — the quantities of pieces in the puzzles sold in the shop.",Print a single integer — the least possible difference the teacher can obtain.,['4 6\n10 12 10 7 5 22\n'],['5\n'],"Sample 1. The class has 4 students. The shop sells 6 puzzles. If Ms. Manana buys the first four puzzles consisting of 10, 12, 10 and 7 pieces correspondingly, then the difference between the sizes of the largest and the smallest puzzle will be equal to 5. It is impossible to obtain a smaller difference. Note that the teacher can also buy puzzles 1, 3, 4 and 5 to obtain the difference 5.",WRONG_ANSWER,"def d(a: list):
    if len(a) <= 1:
        return a
    c = a[len(a)//2]
    a = [i for i in a if i < c]
    b = [i for i in a if i == c]
    f = [i for i in a if i > c]
    return d(a) + b + d(f)

n, m = [int(i) for i in input().split()]
a = [int(i) for i in input().split()]
a = d(a)

e = a[n - 1] - a[0]

for i in range(n, m):
    e = min(e, a[i - 1] - a[i - n])

print(e)","n, m = map(int, input().split())

c = list(map(int, input().split()))

b = float('inf')

for i in range(m - n + 1):

    a = c[i + n - 1] - c[i]

    if a < b:
        b = a

print(b)"
660,D,Number of Parallelograms,PROGRAMMING,['geometry'],You are given *n* points on a plane. All the points are distinct and no three of them lie on the same line. Find the number of parallelograms with the vertices at the given points.,"The first line of the input contains integer *n* (1<=≤<=*n*<=≤<=2000) — the number of points.

Each of the next *n* lines contains two integers (*x**i*,<=*y**i*) (0<=≤<=*x**i*,<=*y**i*<=≤<=109) — the coordinates of the *i*-th point.",Print the only integer *c* — the number of parallelograms with the vertices at the given points.,['4\n0 1\n1 0\n1 1\n2 0\n'],['1\n'],none,TIME_LIMIT_EXCEEDED,"p = set()

def a(e,f,g):
    b = (
        e[0] + (f[0]-g[0]),
        e[1] + (f[1]-g[1])
    )
    if b in p: return 1
    c = (
        e[0] + (g[0]-f[0]),
        e[1] + (g[1]-f[1])
    )
    if c in p: return 1
    d = (
        g[0] + (f[0]-e[0]),
        g[1] + (f[1]-e[1])
    )
    if d in p: return 1
    return 0 

h = []
for i in range(int(input())):
    x,y  = map(int, input().split())
    p.add((x,y))
    h.append((x,y))

r = 0
for j in range(len(h)):
    for k in range(j+1,len(h)):
        for l in range(k+1,len(h)):

            if a(h[j],h[k],h[l]):
                r = r + 1

print(r//4)","def b(h):
    g = set(h)
    a = 0

    for i in range(len(h)):
        for j in range(i + 1, len(h)):
            k, m = h[i]
            l, n = h[j]

            c = (k + l) / 2
            d = (m + n) / 2

            e = (c + (m - n) / 2, d - (k - l) / 2)
            f = (c - (m - n) / 2, d + (k - l) / 2)

            if e in g and f in g:
                a += 1

    return a // 2

import j

n = int(j.stdin.readline().strip())
h = [tuple(map(int, j.stdin.readline().strip().split())) for _ in range(n)]

i = b(h)
print(i)"
888,E,Maximum Subsequence,PROGRAMMING,"['bitmasks', 'divide and conquer', 'meet-in-the-middle']","You are given an array *a* consisting of *n* integers, and additionally an integer *m*. You have to choose some sequence of indices *b*1,<=*b*2,<=...,<=*b**k* (1<=≤<=*b*1<=&lt;<=*b*2<=&lt;<=...<=&lt;<=*b**k*<=≤<=*n*) in such a way that the value of  is maximized. Chosen sequence can be empty.

Print the maximum possible value of .","The first line contains two integers *n* and *m* (1<=≤<=*n*<=≤<=35, 1<=≤<=*m*<=≤<=109).

The second line contains *n* integers *a*1, *a*2, ..., *a**n* (1<=≤<=*a**i*<=≤<=109).",Print the maximum possible value of .,"['4 4\n5 2 4 1\n', '3 20\n199 41 299\n']","['3\n', '19\n']","In the first example you can choose a sequence *b* = {1, 2}, so the sum <img align=""middle"" class=""tex-formula"" src=""https://espresso.codeforces.com/c856546022c2feee13d02a4ec9cd1d361ab3a756.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> is equal to 7 (and that's 3 after taking it modulo 4).

In the second example you can choose a sequence *b* = {3}.",WRONG_ANSWER,"def c(e):
  a, b = 0, float('-inf')
  for d in e:
      a = max(d, a + d)
      b = max(b, a)
  return b","def d(n, m, a):
    e = 0

    for i in range(1 << n):
        a = 0
        
        for j in range(n):

            if i & (1 << j):
                a += a[j]

        b = a % m

        e = max(e, b)
    
    return e

c = input().strip().split('\n')
n, m = map(int, c[0].split())
a = list(map(int, c[1].split()))

f = d(n, m, a)
print(f)"
